date,DJ.industrial.average,DJ.industrial.total.return.index
30-Jun-2003,8985.44,2412.86
31-Jul-2003,9233.8,2622.63
29-Aug-2003,9415.82,2683.24
30-Sep-2003,9275.06,2673.86
31-Oct-2003,9801.12,2913.11
28-Nov-2003,9782.46,2921.23
31-Dec-2003,10453.92,3007.05
30-Jan-2004,10488.07,2885.95
27-Feb-2004,10583.92,2902.19
31-Mar-2004,10357.7,2895.43
30-Apr-2004,10225.57,2886.44
28-May-2004,10188.45,2948.01
30-Jun-2004,10435.48,3204.31
30-Jul-2004,10139.71,3111.69
31-Aug-2004,10173.92,3105.46
30-Sep-2004,10080.27,3243.51
29-Oct-2004,10027.47,3497.42
30-Nov-2004,10428.02,3658.71
31-Dec-2004,10783.01,3798.05
31-Jan-2005,10489.94,3598.48
28-Feb-2005,10766.23,3726.65
31-Mar-2005,10503.76,3715.97
29-Apr-2005,10192.51,3426.44
31-May-2005,10467.48,3599.58
30-Jun-2005,10274.97,3487.76
29-Jul-2005,10640.91,3799.95
31-Aug-2005,10481.6,3680.86
30-Sep-2005,10568.7,3740.55
31-Oct-2005,10440.07,3815.46
30-Nov-2005,10805.87,4113.8
30-Dec-2005,10717.5,4196.03
31-Jan-2006,10864.86,4367.54
28-Feb-2006,10993.41,4436.39
31-Mar-2006,11109.32,4568
28-Apr-2006,11367.14,4664.49
31-May-2006,11168.31,4669.65
30-Jun-2006,11150.22,4928.89
31-Jul-2006,11185.68,4381.99
31-Aug-2006,11381.15,4282.94
29-Sep-2006,11679.07,4453.46
31-Oct-2006,12080.73,4726.61
30-Nov-2006,12221.93,4727.42
29-Dec-2006,12463.15,4560.2
31-Jan-2007,12621.69,4916.82
28-Feb-2007,12268.63,4863.52
30-Mar-2007,12354.35,4810.7
